"name","link"
"L'eclair Patisserie","/Restaurant_Review-g294265-d17705094-Reviews-L_eclair_Patisserie-Singapore.html"
"1. Positano @ RP","/Restaurant_Review-g294265-d21180746-Reviews-Positano_RP-Singapore.html"
"2. Grand Shanghai Restaurant","/Restaurant_Review-g294265-d1145149-Reviews-Grand_Shanghai_Restaurant-Singapore.html"
"3. Fu Lin Men (NSRCC)","/Restaurant_Review-g294265-d17171783-Reviews-Fu_Lin_Men_NSRCC-Singapore.html"
"4. Entre-Nous creperie","/Restaurant_Review-g294265-d1193730-Reviews-Entre_Nous_creperie-Singapore.html"
"5. The Mind Cafe","/Restaurant_Review-g294265-d2089644-Reviews-The_Mind_Cafe-Singapore.html"
"6. Fu Lin Men (CSC)","/Restaurant_Review-g294265-d13873832-Reviews-Fu_Lin_Men_CSC-Singapore.html"
"7. Song Garden","/Restaurant_Review-g294265-d12310362-Reviews-Song_Garden-Singapore.html"
"8. Fu Lin Men Chinese Restaurant (SRC)","/Restaurant_Review-g294265-d15608624-Reviews-Fu_Lin_Men_Chinese_Restaurant_SRC-Singapore.html"
"9. Positano Risto","/Restaurant_Review-g294265-d13152787-Reviews-Positano_Risto-Singapore.html"
"10. Paulaner Brauhaus Singapore","/Restaurant_Review-g294265-d1018167-Reviews-Paulaner_Brauhaus_Singapore-Singapore.html"
"MONTI","/Restaurant_Review-g294265-d11829379-Reviews-MONTI-Singapore.html"
"11. Akira Back","/Restaurant_Review-g294265-d11890575-Reviews-Akira_Back-Singapore.html"
"12. Le Noir Bar & Lounge","/Restaurant_Review-g294265-d18190065-Reviews-Le_Noir_Bar_Lounge-Singapore.html"
"13. Melt Cafe","/Restaurant_Review-g294265-d785219-Reviews-Melt_Cafe-Singapore.html"
"14. Summer Pavilion","/Restaurant_Review-g294265-d796940-Reviews-Summer_Pavilion-Singapore.html"
"15. Beast & Butterflies","/Restaurant_Review-g294265-d10453273-Reviews-Beast_Butterflies-Singapore.html"
"L'Angelus","/Restaurant_Review-g294265-d788966-Reviews-L_Angelus-Singapore.html"
"16. Colony","/Restaurant_Review-g294265-d8571637-Reviews-Colony-Singapore.html"
"17. il Cielo","/Restaurant_Review-g294265-d2616599-Reviews-Il_Cielo-Singapore.html"
"18. Alma By Juan Amador","/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html"
"19. Spice Brasserie","/Restaurant_Review-g294265-d5423955-Reviews-Spice_Brasserie-Singapore.html"
"20. Dolce Vita","/Restaurant_Review-g294265-d948962-Reviews-Dolce_Vita-Singapore.html"
"Burger King","/Restaurant_Review-g294265-d18004944-Reviews-Burger_King-Singapore.html"
"21. Bar-Roque Grill","/Restaurant_Review-g294265-d4504877-Reviews-Bar_Roque_Grill-Singapore.html"
"22. Waterfall Ristorante Italiano","/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html"
"23. Golden Peony @ Conrad Centennial Singapore","/Restaurant_Review-g294265-d903929-Reviews-Golden_Peony_Conrad_Centennial_Singapore-Singapore.html"
"24. Origin Grill","/Restaurant_Review-g294265-d13355758-Reviews-Origin_Grill-Singapore.html"
"25. Ginett Restaurant & Wine Bar","/Restaurant_Review-g294265-d12159080-Reviews-Ginett_Restaurant_Wine_Bar-Singapore.html"
"Rakuya","/Restaurant_Review-g294265-d13798237-Reviews-Rakuya-Singapore.html"
"26. Chef's Table by Chef Stephan Zoisl","/Restaurant_Review-g294265-d8582472-Reviews-Chef_s_Table_by_Chef_Stephan_Zoisl-Singapore.html"
"27. Oscar's","/Restaurant_Review-g294265-d1109005-Reviews-Oscar_s-Singapore.html"
"28. Zazz Pizza","/Restaurant_Review-g294265-d15684477-Reviews-Zazz_Pizza-Singapore.html"
"29. NOX - Dine in the Dark","/Restaurant_Review-g294265-d4611806-Reviews-NOX_Dine_in_the_Dark-Singapore.html"
"30. Rise Restaurant","/Restaurant_Review-g294265-d3471372-Reviews-Rise_Restaurant-Singapore.html"
"The Lobby Lounge","/Restaurant_Review-g294265-d12594724-Reviews-The_Lobby_Lounge-Singapore.html"
